btc,eth,bch,xrp,Y
41929,2253.7,233.098,0.4963,1
42064,2266,236.392,0.4981,0
42042,2263.2,233.878,0.4971,1
42112,2263.7,233.88,0.49709,0
42074,2263.8,233.832,0.4959,0
42055,2261.6,233.825,0.4958,1
42029,2262.4,233.779,0.4962,1
43087,2313.2,237.639,0.5069,0
43084,2313.6,237.62,0.5061,0
43008,2308.4,237.222,0.5049,0
42996,2310,237.015,0.5051,0
43033,2301.3,235.832,0.50585,0
43051,2301.7,235.906,0.5065,0
43046,2301.3,235.903,0.50659,0
43039,2299.9,235.966,0.5068,0
43021,2299.5,235.839,0.5067,0
43013,2297.7,235.613,0.5069,0
43017,2299.3,235.587,0.50729,0
43025,2298.3,235.729,0.5084,1
43001,2296.2,235.735,0.5076,1
42990,2297.1,235.554,0.50862,1
42990,2298.5,235.588,0.509,1
43016,2301.8,235.755,0.5103,1
43058,2306.9,235.768,0.5123,0
43117,2307.6,236.023,0.51249,0
43119,2308,235.924,0.51286,0
43115,2307.6,235.916,0.51259,1
43128,2306.6,235.889,0.5107,1
43109,2308.7,236.105,0.5105,1
43109,2306.4,236.074,0.5099,1
43154,2307.3,236.167,0.5105,0
43199,2309,236.285,0.5109,0
43232,2309.3,236.302,0.511,0
43175,2308.1,236.343,0.50958,0
43151,2306.9,236.344,0.50953,0
43133,2306.3,236.157,0.5093,0
43140,2306.1,236.119,0.5096,0
43076,2303.6,238.178,0.5184,0
43077,2303.6,238.118,0.5186,0
43069,2304.2,238.122,0.51979,0
43052,2303,238.09,0.51879,0
43042,2301.9,238.056,0.51869,0
43028,2301.4,238.056,0.51999,0
43026,2300.5,237.984,0.52009,0
43041,2301.1,237.993,0.52035,0
43028,2299.8,237.982,0.51979,0
43036,2300,237.837,0.51979,0
43040,2300.9,237.837,0.5201,0
43029,2301.2,237.733,0.52099,0
43037,2300.1,237.73,0.5208,0
43026,2299.1,237.636,0.52038,0
43039,2299.2,237.564,0.5202,0
43047,2299.2,237.559,0.5199,0
43066,2299.3,237.632,0.52,0
43074,2298.9,237.527,0.5195,0
43075,2299.5,237.526,0.5198,0
43053,2298.8,237.502,0.51999,0
43049,2297.9,237.473,0.51999,0
43043,2298.9,237.622,0.52049,0
43028,2298.3,237.637,0.5202,0
43067,2301,237.47,0.5211,0
43070,2300.8,237.626,0.5217,0
43067,2299.3,237.739,0.5216,0
43031,2297.6,237.617,0.5213,0
43001,2294.8,237.204,0.5212,0
43008,2296.1,237.175,0.5218,0
42975,2295.4,237.089,0.5216,0
42871,2301.8,236.588,0.5113,0
42870,2302.4,236.314,0.51039,0
42809,2298.7,236.381,0.51009,0
42826,2299.2,236.482,0.51029,0
42813,2298.8,236.495,0.51016,0
42791,2299.4,236.495,0.50979,0
42765,2296.9,236.265,0.5091,0
42752,2293.8,236.16,0.50859,0
42801,2294.6,236.435,0.509,0
42779,2294.6,236.432,0.5085,0
42686,2280.7,235.491,0.50569,0
42661,2277.6,236.057,0.5068,0
42686,2278,236.356,0.5071,0
42673,2275.1,236.112,0.50649,0
42633,2277.1,236.33,0.50642,0
42668,2279.4,236.334,0.50642,0
42645,2279.3,236.435,0.5065,0
42674,2281,236.455,0.5069,0
42655,2282.2,236.131,0.5068,0
42660,2281.7,236.108,0.5068,0
42643,2280,236.201,0.5069,0
42644,2279.4,236.368,0.5071,0
42661,2281.1,236.348,0.5076,0
42615,2279.7,236.223,0.5068,0
42643,2279.8,235.912,0.5071,0
42605,2277,235.827,0.50639,1
42584,2276.2,235.59,0.50609,1
