btc,eth,bch,xrp
41929,2253.7,233.098,0.4963
42064,2266,236.392,0.4981
42042,2263.2,233.878,0.4971
42112,2263.7,233.88,0.49709
42074,2263.8,233.832,0.4959
42055,2261.6,233.825,0.4958
42029,2262.4,233.779,0.4962
42056,2262.8,233.76,0.4963
42149,2267.8,233.971,0.4964
42137,2265.5,233.809,0.4961
42109,2264.6,233.676,0.4959
42034,2262.6,233.515,0.4956
42024,2262.8,233.514,0.49509
.,.,.,.
42074,2264.6,233.48,0.4965
42105,2265.6,233.214,0.4971
42114,2266.7,233.21,0.4967
42130,2268,237.998,0.49549
42136,2269.5,234.717,0.4939
42125,2269.7,234.717,0.4935
42125,2269.7,234.717,0.4935
42125,2269.7,234.717,0.4935
42125,2269.7,234.717,0.4935
42125,2269.7,234.717,0.4935
.,.,.,.
,,,
43087,2313.2,237.639,0.5069
43084,2313.6,237.62,0.5061
43008,2308.4,237.222,0.5049
42996,2310,237.015,0.5051
43036,2313.6,237.219,0.5057
43015,2310.3,237.24,0.505
43000,2310.5,237.401,0.5057
42996,2308.8,237.456,0.506
42984,2308.1,237.364,0.5059
42946,2305.9,236.994,0.5049
.,.,.,.
43033,2301.3,235.832,0.50585
43051,2301.7,235.906,0.5065
43046,2301.3,235.903,0.50659
43039,2299.9,235.966,0.5068
43021,2299.5,235.839,0.5067
43013,2297.7,235.613,0.5069
43017,2299.3,235.587,0.50729
43025,2298.3,235.729,0.5084
43001,2296.2,235.735,0.5076
42990,2297.1,235.554,0.50862
42990,2298.5,235.588,0.509
43016,2301.8,235.755,0.5103
43058,2306.9,235.768,0.5123
43117,2307.6,236.023,0.51249
43119,2308,235.924,0.51286
43115,2307.6,235.916,0.51259
43128,2306.6,235.889,0.5107
43109,2308.7,236.105,0.5105
43109,2306.4,236.074,0.5099
43154,2307.3,236.167,0.5105
43199,2309,236.285,0.5109
43232,2309.3,236.302,0.511
43175,2308.1,236.343,0.50958
43151,2306.9,236.344,0.50953
43133,2306.3,236.157,0.5093
43140,2306.1,236.119,0.5096
43143,2307.6,236.283,0.50929
